Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
100725341,Coq8b,coenzyme Q8B,Cavia porcellus,domestic guinea pig,XM_003462007.4,XP_003462055.1,10195515,model,,default-seq
100725341,Coq8b,coenzyme Q8B,Cavia porcellus,domestic guinea pig,XM_004999971.4,XP_005000028.1,10195515,model,,
100725341,Coq8b,coenzyme Q8B,Cavia porcellus,domestic guinea pig,XM_013159351.2,XP_013014805.1,10195515,model,,
100725341,Coq8b,coenzyme Q8B,Cavia porcellus,domestic guinea pig,XM_013159356.3,XP_013014810.1,10195515,model,,
100725341,Coq8b,coenzyme Q8B,Cavia porcellus,domestic guinea pig,XM_013159362.3,XP_013014816.1,10195515,model,,
100725341,Coq8b,coenzyme Q8B,Cavia porcellus,domestic guinea pig,XM_063252780.1,XP_063108850.1,,model,,
100770066,Coq8b,coenzyme Q8B,Cricetulus griseus,Chinese hamster,XM_035449355.1,XP_035305246.1,,model,,default-seq
100770066,Coq8b,coenzyme Q8B,Cricetulus griseus,Chinese hamster,XM_027430424.2,XP_027286225.1,10195515,model,,
100770066,Coq8b,coenzyme Q8B,Cricetulus griseus,Chinese hamster,XM_027430427.2,XP_027286228.1,10195515,model,,
100770066,Coq8b,coenzyme Q8B,Cricetulus griseus,Chinese hamster,XM_035449356.1,XP_035305247.1,,model,,
100770066,Coq8b,coenzyme Q8B,Cricetulus griseus,Chinese hamster,XM_035457651.1,XP_035313542.1,,model,,
100946054,COQ8B,coenzyme Q8B,Otolemur garnettii,small-eared galago,XM_023508246.1,XP_023364014.1,10195515,model,,default-seq
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_008964891.4,XP_008963139.3,,model,,default-seq
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_003812472.5,XP_003812520.3,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_008964889.6,XP_008963137.3,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_008964890.4,XP_008963138.3,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_008964893.4,XP_008963141.3,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_034945225.3,XP_034801116.2,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_034945226.2,XP_034801117.2,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_034945227.3,XP_034801118.2,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_055104005.2,XP_054959980.2,,model,,
100986186,COQ8B,coenzyme Q8B,Pan paniscus,pygmy chimpanzee,XM_063600294.1,XP_063456364.1,,model,,
101026306,COQ8B,coenzyme Q8B,Papio anubis,olive baboon,XM_009194531.4,XP_009192795.1,10195515,model,,default-seq
101026306,COQ8B,coenzyme Q8B,Papio anubis,olive baboon,XM_003915555.5,XP_003915604.1,10195515,model,,
101026306,COQ8B,coenzyme Q8B,Papio anubis,olive baboon,XM_009194530.4,XP_009192794.1,10195515,model,,
101026306,COQ8B,coenzyme Q8B,Papio anubis,olive baboon,XM_009194532.4,XP_009192796.4,,model,,
101026306,COQ8B,coenzyme Q8B,Papio anubis,olive baboon,XM_009194533.4,XP_009192797.1,10195515,model,,
101026306,COQ8B,coenzyme Q8B,Papio anubis,olive baboon,XM_009194534.4,XP_009192798.1,10195515,model,,
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_039465894.2,XP_039321828.1,,model,,default-seq
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_003943171.4,XP_003943220.1,10195515,model,,
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_010331029.3,XP_010329331.1,10195515,model,,
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_010331030.3,XP_010329332.1,10195515,model,,
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_010331031.3,XP_010329333.1,10195515,model,,
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_010331032.3,XP_010329334.1,10195515,model,,
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_039465897.2,XP_039321831.1,,model,,
101043850,COQ8B,coenzyme Q8B,Saimiri boliviensis,Bolivian squirrel monkey,XM_039465898.2,XP_039321832.1,,model,,
101091064,COQ8B,coenzyme Q8B,Felis catus,domestic cat,XM_011289889.4,XP_011288191.1,10195515,model,,default-seq
101091064,COQ8B,coenzyme Q8B,Felis catus,domestic cat,XM_045046885.1,XP_044902820.1,,model,,
101091064,COQ8B,coenzyme Q8B,Felis catus,domestic cat,XM_045046886.1,XP_044902821.1,,model,,
101091064,COQ8B,coenzyme Q8B,Felis catus,domestic cat,XM_045046887.1,XP_044902822.1,,model,,
101091064,COQ8B,coenzyme Q8B,Felis catus,domestic cat,XR_006590697.1,,,model,,
101091064,COQ8B,coenzyme Q8B,Felis catus,domestic cat,XR_006590698.1,,,model,,
101091064,COQ8B,coenzyme Q8B,Felis catus,domestic cat,XR_006590699.1,,,model,,
101120265,COQ8B,coenzyme Q8B,Ovis aries,sheep,XM_027978299.2,XP_027834100.1,10195515,model,,default-seq
101120265,COQ8B,coenzyme Q8B,Ovis aries,sheep,XM_027978300.2,XP_027834101.1,10195515,model,,
101120265,COQ8B,coenzyme Q8B,Ovis aries,sheep,XM_042232076.1,XP_042088010.1,,model,,
101120265,COQ8B,coenzyme Q8B,Ovis aries,sheep,XM_042232077.1,XP_042088011.1,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_055369467.2,XP_055225442.2,,model,,default-seq
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_019016084.3,XP_018871629.2,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_019016085.3,XP_018871630.2,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_019016086.2,XP_018871631.2,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_055369470.1,XP_055225445.1,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_055369473.2,XP_055225448.1,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_055369474.2,XP_055225449.1,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_063701347.1,XP_063557417.1,,model,,
101149501,COQ8B,coenzyme Q8B,Gorilla gorilla gorilla,western lowland gorilla,XM_063701348.1,XP_063557418.1,,model,,
101289806,COQ8B,coenzyme Q8B,Orcinus orca,killer whale,XM_004271265.4,XP_004271313.3,,model,,default-seq
101289806,COQ8B,coenzyme Q8B,Orcinus orca,killer whale,XM_033430917.2,XP_033286808.1,,model,,
101289806,COQ8B,coenzyme Q8B,Orcinus orca,killer whale,XM_033430918.2,XP_033286809.1,,model,,
101289806,COQ8B,coenzyme Q8B,Orcinus orca,killer whale,XM_033430919.2,XP_033286810.1,,model,,
101289806,COQ8B,coenzyme Q8B,Orcinus orca,killer whale,XM_033430920.2,XP_033286811.1,,model,,
101289806,COQ8B,coenzyme Q8B,Orcinus orca,killer whale,XM_049703944.1,XP_049559901.1,,model,,
101289806,COQ8B,coenzyme Q8B,Orcinus orca,killer whale,XM_049703945.1,XP_049559902.1,,model,,
101357614,COQ8B,coenzyme Q8B,Trichechus manatus latirostris,Florida manatee,XM_004390865.2,XP_004390922.1,10195515,model,,default-seq
101369697,COQ8B,coenzyme Q8B,Odobenus rosmarus divergens,Pacific walrus,XM_004396342.2,XP_004396399.1,10195515,model,,default-seq
101369697,COQ8B,coenzyme Q8B,Odobenus rosmarus divergens,Pacific walrus,XM_004396343.2,XP_004396400.1,10195515,model,,
101396945,LOC101396945,coenzyme Q8B,Ceratotherium simum simum,southern white rhinoceros,XM_004441555.2,XP_004441612.2,10195515,model,,default-seq
101396945,LOC101396945,coenzyme Q8B,Ceratotherium simum simum,southern white rhinoceros,XM_014796183.1,XP_014651669.1,10195515,model,,
101396945,LOC101396945,coenzyme Q8B,Ceratotherium simum simum,southern white rhinoceros,XM_014796184.1,XP_014651670.1,10195515,model,,
101396945,LOC101396945,coenzyme Q8B,Ceratotherium simum simum,southern white rhinoceros,XM_014796185.1,XP_014651671.1,10195515,model,,
101422849,COQ8B,coenzyme Q8B,Dasypus novemcinctus,nine-banded armadillo,XM_004458979.4,XP_004459036.1,10195515,model,,default-seq
101422849,COQ8B,coenzyme Q8B,Dasypus novemcinctus,nine-banded armadillo,XM_004458980.5,XP_004459037.1,10195515,model,,
